comentario,Sentimiento,Confianza,Categoria
"Siempre está muy lleno, aveces tarda en pasar ",Negativo,0.9995325803756714,Comodidad
Bien la ruta 50 pasa frecuentemente.,Positivo,0.9997407793998718,Neutral
"Fué buena dentro de lo que cabe, la mayoría de las veces los conductores suelen ser amables aunque suele ser incómodo debido a que al estar lleno el camión siguen subiendo gente ",Neutro,0.9996180534362793,"Chofer, Comodidad"
Buena ,Positivo,0.9997941851615906,Neutral
"Todo bien, alcance a cerrar los ojos unos minutitos... solo que una persona olía mal ",Neutro,0.9997474551200867,Neutral
Tarda mucho en pasar,Negativo,0.9996825456619263,Neutral
"La 20 comúnmente al horario que la tomo no trae mucha gente, entonces el viaje es más a gusto. ",Positivo,0.9997772574424744,Neutral
"No me gusta que siempre vayan llenos en la mañana y que salgan tarde de la terminal, también que los asientos estén de lado, ",Negativo,0.9257681965827942,Tiempo
Todo estuvo bien ,Positivo,0.9999010562896729,Neutral
Es muy tardado siempre para pasar y los domingos no es tan común que pase,Negativo,0.9944518208503723,Tiempo
La espera,Negativo,0.9998481273651123,Tiempo
Pasan seguido pero se llenan mucho en horas pico,Neutro,0.9991230368614197,Tiempo
"Tardan mucho en pasar, les haces la parada y no te hacen caso, algunos conductores fuman y eso es molesto",Negativo,0.9992747902870178,Chofer
Bien ,Positivo,0.998543381690979,Neutral
Muy tardado y poco humano el servicio dado (el conductor apenas y dirige la palabra),Negativo,0.9987955093383789,"Chofer, Tiempo"
"Mal, llega muy tarde a las paradas",Negativo,0.9997001886367798,Tiempo
Pues me parece perfecto solo que se montona mucha gente ,Positivo,0.9917089343070984,Neutral
Se satura mucho (muy lleno). Además de ser muy tardado el tiempo de espera.,Negativo,0.9994857311248779,"Tiempo, Comodidad"
"Tienen buen internet, pero pide todos tus datos, y no me gusta que vaya rapido",Neutro,0.9995867609977722,Neutral
Sé tarda mucho en pasar ,Negativo,0.9997299313545227,Neutral
"Los asientos son de lo peor, por qué al estar en línea no se puede uno ni detener cuando dan un frenon los conductores tanto sentado pero cuando uno está parado, los niños tampoco pueden detenerse o agarrarse de algo como antes cuando los asientos estaban de dos en dos, y si te quedas sin saldo en la tarjeta ahí tienes que andar pidiendo prestado la tarjeta por qué son inflexibles en el pago",Negativo,0.9434530138969421,Chofer
"me gusta que los choferes son buena onda, pero se llenan extremadamente mucho y no está cómodo eso",Neutro,0.9997114539146423,"Chofer, Comodidad"
El tiempo de esperar y cuánto puede tardar en pasar,Negativo,0.9995198249816895,Tiempo
Tarda mucho,Negativo,0.9995880722999573,Neutral
"No me gusta que se tarda, que los camiones son muy pequeños y ni parados se puede. No me gusta no poder ver mi saldo de la tarjeta",Negativo,0.9995675683021545,Neutral
"Es una ruta que rodea demasiado, esto provoca que el camión se llene demasiado y se vuelva mas tardado.",Neutro,0.9988210797309875,Tiempo
"La ruta tarda demasiado en salir, uno tiene que esperar mínimo 1 hora al momento que va a tomar ese camión-",Negativo,0.9995409250259399,Tiempo
"El estado de los autobuses deja mucho que desear, estaría súper que les dieran mantenimiento y mejorarán la limpieza de ellos.",Negativo,0.9997934699058533,Neutral
Que algunas veces sube más del cupo limite que se debería,Negativo,0.9982874989509583,Neutral
La ruta tarda mucho en llegar y no sigue horarios de paso.,Negativo,0.9997150301933289,Neutral
"Es difícil subir ya que casi va lleno a esa hora, y en ocasiones pasan hasta 3 qué no se paran por lo mismo",Negativo,0.9991469383239746,"Tiempo, Comodidad"
Pasó muy tarde ,Negativo,0.9985275268554688,Tiempo
"Me gustó, muy moderno",Positivo,0.9998931884765625,Neutral
Es más espacioso,Positivo,0.998813271522522,Neutral
Algunos asientos estaban rotos,Negativo,0.9992966651916504,Neutral
El conductor iba muy rápido.,Positivo,0.7796590328216553,Chofer
Me gustó mucho que resalta más que otros camiones.,Positivo,0.9992995262145996,Neutral
Se tarda mucho el camión.,Negativo,0.9997285008430481,Neutral
"No me gustó porque estaba lleno y con este caloron, es muy incómodo ",Negativo,0.9994719624519348,Comodidad
"Me encantó, pasan muy seguido a comparación de otros ",Positivo,0.9998675584793091,Neutral
Está lleno,Negativo,0.9996985197067261,Comodidad
Exceso de pasajeros. ,Neutro,0.593172550201416,Neutral
"La forma de los asientos, que se suban por atrás, que no te dejen bajar, que se tarde la ruta, que el Internet no sirba",Negativo,0.999556839466095,Tiempo
La espera se tradan mucho ,Negativo,0.9997144341468811,Tiempo
frenan muy derrepente ,Negativo,0.9994020462036133,Neutral
"No utilizo el autobús, pero el tiempo ",Neutro,0.9997453093528748,Tiempo
Lo que no me gustó es que siempre va muy lleno el camión ,Negativo,0.9991239905357361,Comodidad
"Me gusta que la ruta es algo rápida, no me gusta que se llene en casa horario que pasa",Neutro,0.9973058700561523,Neutral
Pos normal,Neutro,0.9904048442840576,Neutral
Asientos en mal estado,Negativo,0.9996474981307983,Estado
Me gusta que se paga con tarjeta pero me disgusta que se retrase siempre ,Neutro,0.9989696741104126,Neutral
Es cómodo aunque requiere de mejor ventilación,Neutro,0.9996312856674194,Comodidad
Tarda demasiado el camión y hay incertidumbre en saber cuando va a pasar.,Negativo,0.9997938275337219,Neutral
Bien ,Positivo,0.998543381690979,Neutral
Fue rapido,Positivo,0.9982320666313171,Neutral
Los horarios son fijos por temporadas ,Negativo,0.9986312985420227,Neutral
Iba demasiado lleno y llegó el punto en el ya ni hacía parada para subir. ,Negativo,0.9996724128723145,Comodidad
No me gusta esperar demasiado ,Negativo,0.9996918439865112,Neutral
Buena,Positivo,0.9998786449432373,Neutral
ME SIENTO DISGUSTO POR QUE DEMORA  MUCHO EL CAMION,Negativo,0.9990298748016357,Tiempo
Que suben mucha gente cuando ya no caben ,Negativo,0.9996899366378784,Neutral
Tarda mucho en pasar la  ruta pero es rapida,Neutro,0.999221682548523,Neutral
"hoy en especifico fue mala ya que se tardo más de 15 min en pasar posteriormente paso la ruta llena, después pasaron dos rutas semivacias y así conseguí lugar  ",Neutro,0.9993645548820496,Neutral
Frenadas muy bruscas ,Negativo,0.9991303086280823,Neutral
"Camiones muy chicos, se llenan pronto y además tardan mucho en el trayecto y en llegar a cada parada ",Negativo,0.9971691966056824,Neutral
Demaciado llena ,Negativo,0.9997268319129944,Neutral
Tardan muchisimo ,Negativo,0.9993795156478882,Neutral
El camión está muy lleno en el mañana. ,Negativo,0.9996802806854248,Comodidad
Obvio a nadie le gusta agarrar camión ,Negativo,0.9981229901313782,Neutral
No me gusta que se tarde hasta una hora en pasar,Negativo,0.9997857213020325,Tiempo
"En general me disgusta su servicio, el tiempo que demora y la calidad de las unidades ",Negativo,0.9991729855537415,Tiempo
siempre va lleno el camión ,Negativo,0.9995924830436707,Comodidad
Adecuada,Negativo,0.9990977048873901,Neutral
Las condiciones de las unidades,Negativo,0.971566379070282,Neutral
Huele mal ,Negativo,0.9991094470024109,Neutral
"ME GUSTA QUE LA DISTANCIA QUE TIENE LA RUTA ES BASTANTE LARGA Y TE PUEDE LLEVAR A CUALQUIER PARTE DENTRO DE 3ER ANILLO, PERO ES DESAGRADABLE EL ECHO DE LA MISMA DISTANCIA, SIEMPRE VIENE MUY LLENA POR LAS MAÑANAS, ENTONCES... SERIA BUENA IDEA INGRESAR MAS CAMIONES DE LA RUTA",Neutro,0.9996668100357056,Neutral
"Tarda mucho y cuando llega, viene lleno ",Negativo,0.9997081160545349,Comodidad
El servicio es horrible,Negativo,0.9991217255592346,Neutral
NO ME GUSTA QUE LOS CAMIONES ESTEN SUCIOS Y NO LES DEN MANTENIMIENTO,Negativo,0.9996218681335449,Neutral
no me gusta que me de el sol jaja,Negativo,0.9941262006759644,Neutral
Tarda mucho tiempo en pasar ,Negativo,0.9992707371711731,Tiempo
El servicio es muy malo y muy lento ,Negativo,0.9985879063606262,Neutral
El chófer muy amable,Positivo,0.9998974800109863,Chofer
"Es bueno, pero siempre pasa lleno ",Neutro,0.9996488094329834,Comodidad
LOS CHOFER SON GROSEROS,Negativo,0.9995300769805908,Chofer
No me gusto,Negativo,0.9997547268867493,Neutral
"Tarda en pasar y va siempre lleno, están sucias las unidades ",Negativo,0.9994800686836243,Comodidad
"tarda mucho en pasar , va muy llena y esta sucia",Negativo,0.9997573494911194,Neutral
Hoy el chófer no se detuvo a levantar gente en la parada de la 45 y 3er anillo.,Negativo,0.9997633099555969,Chofer
Es la única ruta que pasa por mi casa y siempre va llena ,Negativo,0.9978506565093994,Neutral
Hace mucho calor y no están tan ventilados,Negativo,0.9997918009757996,Neutral
tarda mucho tiempo en pasar la ruta ,Negativo,0.9979760050773621,Tiempo
"No me gusta que los asientos están alrededor del camión, es más complicado el trayecto, ya que el 3er anillo está muy deteriorado en algunas partes",Neutro,0.8302220106124878,Neutral
Se tardo demasiado en pasar y había demasiada gente cuando me subí y luego te empujan porque el chófer sube a más personas cuando todos parecemos unas sardinas.,Negativo,0.9998040795326233,Chofer
Excelente servicio,Positivo,0.999901294708252,Neutral
"No me gusta que está muy lleno, no se dan abasto ",Negativo,0.9997742772102356,Comodidad
"Siempre va muy llena, no pasa tan seguido como la 40",Negativo,0.9997268319129944,Neutral
"Fue buena porque había pocos pasajeros al ser festivo, me gusto que iba poca gente.",Positivo,0.9991596937179565,Neutral
"Mala, el primer camión no se paró porque venía otro atrás que hizo que estuviera demasiado lleno y por lo tanto más lento",Negativo,0.9997739195823669,Comodidad
Buena,Positivo,0.9998786449432373,Neutral
Es buena,Positivo,0.9998900890350342,Neutral
El tiempo de espera suele ser bastante extenso.,Negativo,0.886393666267395,Tiempo
"Mala, Demasiadas personas ",Negativo,0.9993033409118652,Neutral
Mucha gente y tarda bastante ,Negativo,0.9996838569641113,Neutral
No me gusta,Negativo,0.9997896552085876,Neutral
Bien estuvo medio vasio ,Positivo,0.9992081522941589,Neutral
No uso el camión ,Negativo,0.9969913959503174,Neutral
No me gustó en general,Negativo,0.9997908473014832,Neutral
Regular ,Neutro,0.9955267310142517,Neutral
tarda demasiado en pasar ,Negativo,0.9996541738510132,Neutral
"Se tardó demasiado en pasar, pero el viaje estuvo bien",Neutro,0.9997871518135071,Neutral
Normal,Neutro,0.9950630068778992,Neutral
"Nada, me lleva de lugar a lugar",Neutro,0.6143684983253479,Neutral
No me gustó venía mucha gente y el chofer aún subía ,Negativo,0.999401330947876,Chofer
Mala,Negativo,0.9994242191314697,Neutral
Es el que uso para ir al centro,Positivo,0.9039354920387268,Neutral
Me gustaría que hubiera mas camiones y que se pueda pagar tanto en efectivo como pago electrónico ,Neutro,0.979015588760376,Neutral
No me tocó asiento ,Negativo,0.9980080723762512,Comodidad
Me disgusta mucho el tiempo de espera es excesivo son 45 minutos por cada ruta,Negativo,0.9996809959411621,Tiempo
Tarda mucho en pasar,Negativo,0.9996825456619263,Neutral
No me gustó ya que no respetan el número de persona que pueden subir ,Negativo,0.9996798038482666,Neutral
Que se tarda mucho y va muy llena,Negativo,0.9998257756233215,Neutral
Si ,Neutro,0.6339966654777527,Sin palabras
No llego a tiempo el camion,Negativo,0.9974141120910645,Tiempo
Que iba a su velocidad correspondiente y pude llegar a tiempo a la universidad ,Negativo,0.9986059069633484,Tiempo
No me gusta los horarios del camión.   Y que. Tardan mucho  y pasan muy llenos ,Negativo,0.7864207625389099,Neutral
"Mm por lo regular me gustaría que fuera más futurista incluso estoy haciendo un proyecto, sobre cómo cambiar las tarjetas físicas a digitales ya que yo manejo Wallet de IOS y todo se maneja por dijital ",Neutro,0.9989849925041199,Chofer
Mala,Negativo,0.9994242191314697,Neutral
me gustó ,Positivo,0.9992951154708862,Neutral
Ningun problema ,Positivo,0.9118924140930176,Neutral
Aveces tarda mucho y va muy llena,Negativo,0.9997197985649109,Neutral
Bien chido ,Positivo,0.9998619556427002,Neutral
Me gustó ,Positivo,0.9995715022087097,Neutral
Es muy repetuoso el amviente ,Neutro,0.6664246320724487,Neutral
Se tardó ,Negativo,0.9986773133277893,Neutral
Muy lleno desde que me subí,Negativo,0.9995193481445312,Comodidad
Que no me gusta cuando se llena de gente por qué no hay donde colocarse y te pisan o te avientan,Negativo,0.9983602166175842,Neutral
"No me gustó, iba todo sucio",Negativo,0.9987118244171143,Estado
"Fue una experiencia normal, ocasionalmente me pasan cosas desagradables o incómodas en está ruta, pero el día de hoy todo muy neutro.",Neutro,0.9996047616004944,Neutral
"Me gustó mucho, muy moderno ",Positivo,0.9998459815979004,Neutral
"Decente, no hubo problemas de espacio ",Positivo,0.9990546107292175,Comodidad
Tarda mucho en pasar,Negativo,0.9996825456619263,Neutral
Bastante llena y tarda muchísimo en pasar,Negativo,0.9997746348381042,Neutral
Qué no hay suficientes autobuses ,Negativo,0.9995751976966858,Neutral
Demasiado lleno,Negativo,0.9997841715812683,Comodidad
Muy bien pero tarda mucho en pasar ,Neutro,0.9995906949043274,Neutral
Tarda mucho en pasar,Negativo,0.9996825456619263,Neutral
Estuvo un parte del tiempo vacía y no se llenó mucho ,Negativo,0.9961057305335999,Tiempo
Me gusto,Positivo,0.9996954202651978,Neutral
Todo,Positivo,0.9981107711791992,Neutral
No pasa rápido ,Negativo,0.999588668346405,Neutral
El tiempo en lo que tarda ,Negativo,0.9992269277572632,Tiempo
"Tardó un poco en pasar y se llena bastante, no hay lugares para todos",Negativo,0.9997809529304504,Neutral
"Mucha gente, retrasada, calor…",Negativo,0.997610330581665,Neutral
Opino que es deficiente como servicio público ,Negativo,0.9989088773727417,Neutral
No se paran ,Negativo,0.9997852444648743,Neutral
Me gusto,Positivo,0.9996954202651978,Neutral
"Me gusta que me lleva a mi destino, no me gusta que que está muy llena y que son pocas unidades",Neutro,0.9960920214653015,Neutral
Demasiados  usuarios  sobrepasa a la capacidad de pasajeros ,Negativo,0.9899521470069885,Neutral
El tiempo de espera y la gente,Negativo,0.999213695526123,Tiempo
Se ve que están mas chidos ,Neutro,0.9848885536193848,Neutral
Es un transporte que viene con demasiada gente y viene muy llena ,Negativo,0.9996504783630371,Neutral
Pues han mejorado un poco sus condiciones pero aún les falta en cuestión al precio ,Neutro,0.9994080066680908,Neutral
Q no alcanzo a sostenerme xq estoy chaparrita y aveces m toca estar parada,Negativo,0.9994505047798157,Neutral
Buena,Positivo,0.9998786449432373,Neutral
Siempre se tarda mucho en pasar tanto de venida como de regreso,Negativo,0.9996457099914551,Neutral
"que esta lleno, no hay lugar y manejan muy rapidp",Negativo,0.9987602233886719,Comodidad
"Bien, poco incomodo cuando no hay espacio ni para recorrerse ",Neutro,0.9985466599464417,Comodidad
Es excesivo el número de pasajeros de pie,Negativo,0.9994086027145386,Neutral
Me gustó limpieza y profesionalismo del operador. No me agradan los lapsos del servicio ,Neutro,0.9949030876159668,Neutral
Sofocante por el calor,Negativo,0.999239444732666,Neutral
Es regularmente bueno pero no hay asientos suficientes para la demás gente además de qué no hay asientos para gente discapacitada en todos los transportes ,Neutro,0.9992449283599854,Neutral
Muy saturada ,Negativo,0.9996991157531738,Neutral
PS es un poco tardada y se encierra mucho el calor,Negativo,0.9988698363304138,Neutral
Más o menos,Neutro,0.9992203712463379,Neutral
todo bien solo que aveces viene lleno,Neutro,0.999028205871582,Comodidad
No me gusta el tiempo de espera es muy alto ,Negativo,0.9993085861206055,Tiempo
Se llena demasiado ,Negativo,0.9995817542076111,Neutral
La distancia para salir a tomar la ruta es larga ,Negativo,0.9988201260566711,Neutral
Se tarda demasiado el camión inclusive a veces ni pasa ,Negativo,0.9996812343597412,Neutral
Mal,Negativo,0.9945299029350281,Neutral
Es muy tardado y mucha de las veces no llegamos a tiempo como lo contemplamos ,Negativo,0.9929591417312622,Tiempo
"Recorrido por lo general rápido, las llegadas o parada la espera es larga, el calor es sofocante, el sol muy intenso, asientos calientes al igual q los pasamanos ",Neutro,0.9995482563972473,Tiempo
"No, se tarda mucho en venir ",Negativo,0.9995298385620117,Neutral
Normal ,Neutro,0.9957177042961121,Neutral
…,Neutro,0.9959195852279663,Sin palabras
No me gusta que no son precavidos al manejar ,Negativo,0.9990624785423279,Neutral
Muy bien la música ,Positivo,0.9998078942298889,Neutral
Bien,Positivo,0.9996585845947266,Neutral
Bien ,Positivo,0.998543381690979,Neutral
Execelente ,Positivo,0.9998658895492554,Neutral
No tomo autobús ,Negativo,0.9266303777694702,Neutral
Me gusto,Positivo,0.9996954202651978,Neutral
Paso bien,Positivo,0.9998915195465088,Neutral
Excelente ,Positivo,0.9998230338096619,Neutral
Un poco sucios ,Negativo,0.8591358661651611,Neutral
Se tarda mucho el camión.,Negativo,0.9997285008430481,Neutral
No tomo autobús ,Negativo,0.9266303777694702,Neutral
Uso trasporte privado para llegar ,Positivo,0.8572672009468079,Neutral
Me gusta ,Positivo,0.9995439648628235,Neutral
Es tardado,Negativo,0.9992371797561646,Tiempo
"Me gustó mucho el viaje, estás bien equipados ",Positivo,0.9998668432235718,Neutral
No lo uso. ,Neutro,0.9593102335929871,Neutral
No estaba tan lleno y fue rápido,Negativo,0.9995880722999573,Comodidad
el chofer no subió más gente de  la permitida y no manejo mal y mala por la calidad de gente que venía gente inrrespetuosa ,Negativo,0.9993218183517456,Chofer
Es deficiente,Negativo,0.9978640675544739,Neutral
Masomenos ,Neutro,0.9908387064933777,Neutral
No uso ,Negativo,0.9942453503608704,Neutral
Pues no puede agarrar por qué estaba llenas y tuvimos que pedir Uber ,Negativo,0.9996522665023804,Neutral
Masomenos me gustó ,Positivo,0.9995490908622742,Neutral
no me gustó,Neutro,0.8595896363258362,Neutral
Tardan mucho en pasar y cuando pasan ya vienen llenos ,Negativo,0.9995916485786438,Neutral
"Uso dos camiones, es buena pero a veces llego tarde porque el camión pasa o muy lleno o sale tarde ",Neutro,0.9996381998062134,"Tiempo, Comodidad"
"me pisó una señora, el camión casi choca, pero lo bueno que ya pasan más rápido ",Neutro,0.9997934699058533,Neutral
Buena,Positivo,0.9998786449432373,Neutral
No me gustó para nada,Negativo,0.9997833371162415,Neutral
me gustó que ya no se llena tanto como antes,Positivo,0.9989509582519531,Neutral
Paso muy tarde ,Negativo,0.9988276362419128,Tiempo
Pasó más de una hora para que pasara un camión ,Negativo,0.9945804476737976,Tiempo
Todas las 34 siempre van bien llenas,Negativo,0.9826499223709106,Neutral
Me encantó que fuera muy moderno y muy amplio ,Positivo,0.9997757077217102,Neutral
Esta muy viejo el camión ,Negativo,0.9995405673980713,Neutral
Mala ,Negativo,0.9989247918128967,Neutral
Hoy fue un día tranquilo en el autobús ,Positivo,0.9998407363891602,Neutral
Mucha gente,Neutro,0.5191750526428223,Neutral
Muy lleno y se tardó mucho ,Negativo,0.9988638162612915,Comodidad
"pues fue regular, ya que iba algo llena",Neutro,0.9996102452278137,Neutral
había mucha gente en el camión y se tardo mucho ,Negativo,0.999768078327179,Neutral
Se tarda un poco ,Negativo,0.9997580647468567,Neutral
Hoy no la tome pero normalmente me regañan por no tener tarjeta y aveces ni me quieren subir,Neutro,0.9936720132827759,Neutral
"no me gustó, se llena demasiado, y tarda en pasar.",Negativo,0.9997746348381042,Neutral
Tarda una hora en pasar y cuando pasa mayormente va llena,Negativo,0.9997203946113586,Tiempo
Tardan mucho ,Negativo,0.9967873096466064,Neutral
"Que últimamente no pasan rutas tan seguidas y que no se paran donde es la parada pasan hasta dos cuadras de mi destino, que es muy constante ",Negativo,0.7271103858947754,Neutral
Muy bien ,Positivo,0.9997958540916443,Neutral
Buena,Positivo,0.9998786449432373,Neutral
"no lo tome, pero normalmente cuando lo tomo es normal mi viaje, nada anormal solo personas que van a trabajo.",Neutro,0.999687671661377,Neutral
"Me gusta cuando el camión no va tan lleno, pero no me gusta cuando las personas van agarradas de la puerta ",Neutro,0.9993610978126526,Comodidad
El servicio está bien pero e encontrado autobuses con daños pero después de eso está todo bien ,Neutro,0.9996764659881592,Neutral
"No me gusta, siempre está muy lleno ",Negativo,0.9860068559646606,Comodidad
"Muy mal vastante empujadera, poco espacio, el chófer aveces no nos baja en la parada",Negativo,0.9996660947799683,"Chofer, Comodidad"
"Algunas actitudes de los choferes es desagradable,y que hace mucho calor y llevan ventanas cerradas ",Negativo,0.951644241809845,"Chofer, Comodidad"
Pues siempre va super lleno ,Negativo,0.9984001517295837,Comodidad
Traigo carro pobre de los q no traen ,Negativo,0.9996738433837891,Neutral
no me gusta que tarda más de una hora en pasar y siempre va súper llena ,Negativo,0.9995835423469543,Tiempo
No ,Neutro,0.9641200304031372,Sin palabras
"Me gustó que fue rápida y no me gustó que tardó mucho tiempo en pasar, casi no hay camiones de la 19 o 24 ",Neutro,0.9970023036003113,Tiempo
"No me gustó que no funcionaba el aparato que cobra las tarjetas, el camión tardó aproximadamente 10 minutos en salir y llegué tarde porque todavía tenía que tomar otro que de por si, ya va lleno, y generalmente la conducción de los choferes es pesima.",Neutro,0.9975577592849731,"Chofer, Tiempo, Comodidad"
No pasan rápido ,Negativo,0.9997697472572327,Neutral
Me gusto ya que iba en la comodidad de que estaba solo el camión ,Positivo,0.9984866380691528,Comodidad
me gusto,Positivo,0.999525785446167,Neutral
Pues si me gusto,Positivo,0.9998297691345215,Neutral
los tiempos son largos,Negativo,0.9997449517250061,Neutral
pues bueno en algunas ocasiones,Neutro,0.9923237562179565,Neutral
"Pues fue normal, solo duró 10 minutos en el autobús ",Neutro,0.9631107449531555,Neutral
"Me da igual, no me gusta el como manejan, y el camión sucio ",Negativo,0.999454915523529,Estado
